"Sektor","Barkod","Urun Adi","Marka","Kategori","Fiyat (TL)","KDV","Urun Gorseli"
"İçecek","86920421","Doğal Kaynak Suyu","","Su","bilinmiyor","bilinmiyor","https://images.openfoodfacts.org/images/products/000/008/692/0421/front_tr.7.400.jpg"
"Sos, Baharat ve Çeşni","8690635151424","Tat Kechup","Tat","Ketçap","bilinmiyor","bilinmiyor","bilinmiyor"
"Kişisel Bakım ve Kozmetik","8693495054669","Hacı Şakır Sabun","","Sabun ve Kozmetik","bilinmiyor","bilinmiyor","bilinmiyor"
"Kişisel Bakım ve Kozmetik","8690605031404","Dalın Sabun","","Sabun ve Kozmetik","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","7300400112734","Susamlı Gevrek Ekmek","Wasa","Ekmek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8680205472394","Meyve Suyu","İçim","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8682662117092","Aroha Şekersiz, Glutensiz, Vegan Çikolata","Aroha","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8681349442045","Çiğ Pekan Cevizi","","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8690579024938","Filiz Sade Şehriye Makarna","Filiz","Makarna","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690787171066","İşlenmiş Yer Fıstığı","Tadım","Kuruyemiş","bilinmiyor","bilinmiyor","https://images.openfoodfacts.org/images/products/869/078/717/1066/front_en.7.400.jpg"
"İçecek","8696368271286","Kefir","","Kefir","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","4000415007706","Schogetten Ciocolată Cu Lapte Cu Bucățele De Biscuiți Cu Ovăz","Schogetten","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","2000000114730","Dried Apricot","Mirsan","Meyve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8699118011903","Form Karışık Bitki Çayı","Mest","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","3256227447723","Biscuits Riches En Vitamines","U","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","3256227447730","Biscuits Aux Pépites De Chocolat Riches En Vitamines","U","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504065395","Laviva","Ülker","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690575050320","Kuru Patlıcan Dolma","Tamek","Sebze","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504079767","Pöti","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690526095202","Hoşbeş Kakao Kremalı Gofret","Eti","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504011507","Ülker Kakaolu Bisküvi","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","4000539012105","Lindt Lindor Dunkel","Lindt","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","5449000012203","Sprite","Sprite","Gazlı İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8691216097193","Chamallows","Haribo","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8681227060019","Beyoğlu Limon Gazozu","Beyoğlu Gazozu","Gazlı İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8681324002837","Ayran","Sütaş","Ayran","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504086642","Albeni Viva","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690793010052","Doğal Kaynak Suyu","Erikli","Su","bilinmiyor","bilinmiyor","bilinmiyor"
"Tatlı ve Dondurma","8695077001955","Puding","","Tatlı","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690767160042","Ayran","Sütaş","Ayran","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","5449000016645","Coca-Cola","Coca-Cola","Gazlı İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","3692471724614","Namet Dana Kokteyl Sosis","","Kırmızı Et","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","8697471720609","Namet Piliç Sosis 250 Sofram","","Tavuk","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","4335896487274","Honig-Senf Sauce","Exquisit","Sos","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690526070100","Crax Çubuk Kraker","Crax","Kraker","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","86900201","Şeftali Suyu","Dimes","Meyve Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8000500225615","Nutella Ferrero","Nutella","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8691381000011","Beypazari Dogal Maden Suyu / Natural Mineral Water Plain","Beypazarı","Maden Suyu","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8690998102149","Miel","","Bal","bilinmiyor","bilinmiyor","https://images.openfoodfacts.org/images/products/869/099/810/2149/front_en.6.400.jpg"
"Yağ","8691375229763","Olive Oil","","Zeytinyağı","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690565017555","Pınar Protein Kakaolu Süt","Pınar","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8692813005055","Sparkling Water","Kızılay","Su","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","4710085227037","Mr.brown Vanilka","","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","5449000002952","Fuze Peach Ice Tea 330ml","","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690637943447","Twister Forest","Algida","Krema","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8699118017738","Yoğurt","Birşah","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Tatlı ve Dondurma","8697452499050","Limonlu Dondurma","Gundoğdu","Dondurma","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8691707088068","Zeytin Ve Kekikli Kraker","Greta","Kraker","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","7300400118101","Original Çavdar Gevrek Ekmeği","Wasa","Ekmek","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8699118010968","Süt","","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8690710141678","Tahin","Koska","Tahin ve Helva","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690526083360","Burçak Sütlü Kremalı","Eti Burçak","Krema","bilinmiyor","bilinmiyor","bilinmiyor"
"Hazır Gıda","8699141056025","Boom Bastic Burger","Şolen","Hazır Yemek","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8690526069500","Lifalif Yulaf Ezmesi","Eti","Yulaf","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","5021265248667","İmmunace","","Un","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8698518423941","Cityfarm Organik Peanut Bitter","Cityfarm","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8693374254401","Yeşil Mercimekli Bulgur Pilavı","Yayla","Bulgur","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504027508","Çokonat","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8697412872619","Aivar","Ahinur","Sos","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690624103557","Yoğurt & Mevsim Yeşillikleri Çeşnili Birlik","Lay's","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690526061108","Burçak Tam Buğday Unlu Bisküvi","Eti","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8691314000040","Bayram Ayran","Bayram","Ayran","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8695077051820","Kakaolu Fındık Kreması","Sayley","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8699343264334","Krokanli Findik Kremasi","","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8697530204675","Tekirdag Rakisui","","Alkollü İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8690120060408","No:1 More","Torku","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8695077102010","Dost Tam Yağlı Süt","Dost","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690574103416","Pepsi Max","","Gazlı İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690632242972","Piatachio Bitter Chocolate","Nestlé","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","9055152417733","Migros Süt","Migros","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690526018867","Karam %54 Kakaolu Bitter Çikolata","Eti","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8697412877195","Gaufrette À La Crème Vanille","Ahinur","Gofret","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","7411909100013","Tea Mixed Apple","Ali-Baba","Çay","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8696368906263","Danone Triple Zero Proteinli Kakaolu Süt","Danone","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8695077031945","Mayonnaise","","Mayonez","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8719200751545","Sana Kase 250 Tereyağı Lezzeti","","Tereyağı","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504142980","%80 Bitter Çikolata","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690840179961","Yupo Jelly","Ülker","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8695876201983","Peyman Çitliyo Klasik","Peyman","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8697411129998","Kakaolu Findik Kremasi","Asfarel","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Hazır Gıda","8690504641650","Sehriyeli Tavuk Çorbasi","Ülker","Çorba","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","20225148","Gold Lungo","Bellarom","Un","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","42563009137","Smooth Organic Peanut Butter Unsalted","Woodstock","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8680751007439","Kakaolu Findik Cremali","Migros","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","1023060","Kyani","Sunrise","Un","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8695077069542","Kızartılmış Kaju Fıstığı","Simbat","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8699036670046","Adana Şalgam Suyu","Kilikya","Su","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8690777564007","Delikatessen Sauerkonserven","Sera","Sebze","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690565100530","Pınar Süt 1 Litre Tam Yağlı","Pınar","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690624103694","Fırından Yoğurt Mevsim Yeşillikleri","Lay's","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504135913","Ülker Çikolata","Ülker","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Dondurulmuş Gıda","50189052","Polo Original 34g","POLO","Dondurulmuş Ürün","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8690120060187","No:1 Hazelnut","Torku","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690574105786","Karısık Meyve Aromalı Gazoz","Yedigun","Gazlı İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8690198900538","Miel","Kafkas","Bal","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8699118014713","Fındık Ezmesi - %70 Fındık","Findux","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8695077002327","Roasted&salted Peanuts","Simbat","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8695077004369","Dost Doğal Yoğurt","Dost","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504009245","Çizi Viç 3'lü Paket","Ülker","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8695077020413","Peripella Kakaolu Fındıklı Krema","Peripella","Fındık/Kakao Kreması","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690526095417","Karam Gurme Gofret Bitter Çikolatalı","Eti","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690710137411","Pismaniye","Koska","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","5900020004574","Ballı Cheerios","Nestlé","Kahvaltılık Gevrek","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8691058141979","Sırma Doğal Kaynak Suyu","Sırma","Su","bilinmiyor","bilinmiyor","https://images.openfoodfacts.org/images/products/869/105/814/1979/front_fr.4.400.jpg"
"Meyve, Sebze ve Kuruyemiş","5400141277715","Geraspte Wortelen Carottes Râpées","Boni","Meyve","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","4000415025304","Schogetten Yoghurt","Schogetten","Yoğurt","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690766087265","Digestive Nibbles Milk Chocolate","Mcvities","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Balık ve Deniz Ürünleri","8690533074030","Eti Balık Kreker","Eti","Balık","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","8690526094700","Lifalif Müsli Kuru Meyveli Ve Fındıklı","Eti","Kahvaltılık Gevrek","bilinmiyor","bilinmiyor","bilinmiyor"
"Kahvaltılık","38000200823","Special K Yulaflı Ve Ballı Kahvaltılık Gevrek","Kellogg's","Kahvaltılık Gevrek","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8680643222278","Uniq2go Crunchy Peanutpaste Vegan","Uniq2go","Kuruyemiş","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8691707096100","Nutymax","Şolen","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Sos, Baharat ve Çeşni","8690635030910","Tomato Paste","Tat","Sos","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690526093543","Eti Form Bitter Çikolata Kaplı Lifli Bisküvi","Eti","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","4036577906090","Weiße Bohnen, Gekocht","Dilek","Un","bilinmiyor","bilinmiyor","bilinmiyor"
"Meyve, Sebze ve Kuruyemiş","8681293076051","100% Fruit Cube","","Meyve","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","80826835","Gum","Vivident","Sakız","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690520252953","Efes Xtra Kutu Bira","Efes","Alkollü İçecek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","3276550589938","Donuts Chocolat","Carrefour","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Tatlı ve Dondurma","8681092300036","Kıbrıs Tatlısı","İstanbul Sütlü","Tatlı","bilinmiyor","bilinmiyor","bilinmiyor"
"İçecek","8690627021209","Kurukahveci Turkish Coffee","Kurukahveci Mehmet Efendi","Kahve","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8699118041474","Ekmek","","Ekmek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","901222","Haribo  Goldbears","Haribo","Şekerleme","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690504410911","İçim Rahat Laktozsuz Süt","İçim","Süt","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690632056753","Classic Çıtır Sütlü Çikolatalı Gofret","Nestlé","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8692971024158","Alpella Süt 180 Çikolatalı","","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
"Süt ve Süt Ürünleri","8690767671029","Kaşar Peyniri","Suş","Peynir","bilinmiyor","bilinmiyor","bilinmiyor"
"Temel Gıda","8680908020021","Noodle","İndomie","Makarna","bilinmiyor","bilinmiyor","bilinmiyor"
"Et ve Et Ürünleri","86935241","Tavuk","Baktat","Tavuk","bilinmiyor","bilinmiyor","bilinmiyor"
"Fırıncılık","8690504063421","Cake Fruits","Ülker","Kek","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8695077084361","Süsse Finger Bisküvi","Susse","Bisküvi","bilinmiyor","bilinmiyor","bilinmiyor"
"Atıştırmalık ve Şekerleme","8690504153740","Godiva Masterpieces Bitter Çikolata Tablet","Godiva","Çikolata","bilinmiyor","bilinmiyor","bilinmiyor"
